Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
06.05.2021,Perşembe,MAYDONOZ,Bağ,"0,5","1,1"
06.05.2021,Perşembe,NANE (BAĞ),Bağ,"0,7","1,2"
06.05.2021,Perşembe,PANCAR (KIRMIZI),Kg,"1,5","2,5"
06.05.2021,Perşembe,PATATES,Kg,"0,8","1,7"
06.05.2021,Perşembe,PATATES (TAZE),Kg,"1,5","2,5"
06.05.2021,Perşembe,PATLICAN (KEMER),Kg,2,4
06.05.2021,Perşembe,PATLICAN (TOPAK),Kg,"1,5","3,5"
06.05.2021,Perşembe,PIRASA,Kg,1,2
06.05.2021,Perşembe,ROKA (BAĞ),Bağ,"0,5","1,2"
06.05.2021,Perşembe,SALATALIK (SİLOR),Kg,"1,5",3
06.05.2021,Perşembe,SALATALIK (MUHTELİF),Kg,1,"2,5"
06.05.2021,Perşembe,SARIMSAK (KURU),Kg,15,30
06.05.2021,Perşembe,SEMİZ OTU (BAĞ),Bağ,1,2
06.05.2021,Perşembe,SOGAN (KURU),Kg,"0,8","1,5"
06.05.2021,Perşembe,SOGAN (KIRMIZI),Kg,3,"4,5"
06.05.2021,Perşembe,SOGAN (YEŞİL),Kg,3,5
06.05.2021,Perşembe,TERE,Bağ,"0,5","1,2"
06.05.2021,Perşembe,TURP (MUHTELİF),Kg,"1,5",3
17.05.2021,Pazartesi,BAKLA,Kg,3,"5,5"
17.05.2021,Pazartesi,BİBER (CİN),Kg,10,15
17.05.2021,Pazartesi,BİBER (ÇARLİ),Kg,2,"3,5"
17.05.2021,Pazartesi,BİBER (DOLMA),Kg,"2,5","4,5"
17.05.2021,Pazartesi,BİBER (KIL),Kg,3,6
17.05.2021,Pazartesi,BİBER (KAPYA),Kg,7,13
17.05.2021,Pazartesi,BİBER (SİVRİ),Kg,"2,5",4
17.05.2021,Pazartesi,BİBER (KÖY),Kg,"2,5","4,5"
17.05.2021,Pazartesi,BROKOLİ,Kg,6,9
17.05.2021,Pazartesi,DERE OTU,Bağ,"0,5",1
